execution_date;maxima;media;pid_an_municipio_monthly;anomalia
2009-01-31;2.4068572598118902;2.04207190314294;2311768;-1.6137124286922901
2009-02-28;3.7561511201118796;3.2946398306054596;2317324;-1.31260003931923
2009-03-31;5.136021639070201;4.32276561397773;2322880;-1.44690604622547
2009-04-30;11.475337741772302;10.583725137311301;2328436;5.2276050277531905
2009-05-31;10.833989196607199;10.2370007892992;2333992;6.93263693335039
2009-06-30;4.8029906352361;4.13986275094824;2339548;2.61337103559039
2009-07-31;3.61784203014066;3.26083195796491;2345104;2.39501466329392
2009-08-31;1.9011547370182902;1.67931150481401;2350660;1.2731084205468999
2009-09-30;0.0555555194616318;0.0419118022250656;2356216;-0.11950565340230199
2009-10-31;0.177194379480375;0.14477739501894699;2361772;-0.26009347271024
2009-12-31;2.553159663311;2.33592934958711;2395108;1.73792237210233
2009-11-30;0.412081253528595;0.33340249942639505;2367328;-0.264604478058381
2010-01-31;5.58824691633063;4.7433489807039;2400664;1.08756556623516
2010-02-28;2.30813830132995;1.93428856655597;2406220;-2.67295130336872
2010-03-31;4.0830316812761405;3.90838034187557;2411425;-1.8612913183276298
2010-04-30;8.233537337432299;7.807253080663769;2423235;2.45113297110566
2010-05-31;4.900609543967629;4.32037678263878;2428444;1.0160129266899698
2010-06-30;3.3225345857131;2.8508642093714305;2434000;1.3243724940135801
2010-07-31;0.833542401669547;0.6800606995240369;2439556;-0.18575659514694798
2010-08-31;1.60091839276344;1.51852026973243;2445112;1.11231718546533
2010-09-30;1.68520849239236;1.3996655434773002;2450668;1.23824808784993
2010-10-31;2.49912330966383;2.2684676342774104;2456224;1.8635967665482198
2010-11-30;0.00252227361003558;0.00223368149346266;2462474;-0.595773295991313
2010-12-31;3.2569467973324597;3.0066324483001;2467336;2.40885626734523
2011-01-31;7.60081540624942;6.221139725819969;2472892;2.56535539398474
2011-02-28;7.9472874110298495;7.35925429905918;2478097;2.7520144291344906
2011-03-31;2.10962191368303;1.88963164635021;2484004;-3.8800400138529905
2011-04-30;8.30182145163417;7.70362182644506;2489560;2.34750171688695
2011-05-31;6.80032570867409;6.06944748509396;2495116;2.7650836291451504
2006-12-31;1.4696848695316598;1.4219424942133998;2167312;0.82393551672862
2011-06-30;1.04474892715613;0.9929820388412242;2500672;-0.5335096765166261
2011-07-31;2.28696162085379;1.71206774228661;2506228;0.8462504476156301
2011-08-31;0.120207960567167;0.10860798136324198;2511784;-0.29759510290386104
2011-09-30;0.0474554510554299;0.0409164988141782;2517340;-0.12050095681319001
2011-10-31;2.31744805314848;2.19778347124921;2522896;1.79291260352002
2011-11-30;3.80088503540804;3.0372119752288;2528452;2.4392032200381
2011-12-31;0.16339080762719;0.126848001282653;2534008;-0.471158976202123
2012-01-31;3.02203400907738;2.7354482610778703;2539564;-0.920336070757359
2012-06-30;1.7305913478136101;1.5177736885463602;2567344;-0.00871802681149192
2012-02-29;3.84004527535932;2.9523221916600604;2545120;-1.6549176782646298
2012-03-31;3.9282867908477797;3.61666563887232;2550676;-2.15300602133088
2012-04-30;3.22034014115731;2.4501582419857995;2556579;-2.90596186757231
2012-05-31;0.22617871794969802;0.180371054778657;2561788;-3.12399280117015
2012-07-31;0.10219423130394999;0.0751950070077077;2572900;-0.7906222876632769
2012-09-30;0.00340773371669153;0.0023034118605443302;2584706;-0.159114043766824
2012-10-31;0.967441521029198;0.8897022829407242;2589568;0.48483141521153705
2012-11-30;2.7290820234494;2.03713452955902;2595124;1.43912755207424
2012-12-31;0.9205456989847359;0.721201816642009;2600680;0.123013204179425
2013-01-31;1.8587860665058797;1.76553469803155;2606236;-1.89024963380368
2013-02-28;4.38982945566282;3.38730943838363;2612139;-1.21993043154106
2013-03-31;5.10479583979806;4.96598847907967;2617348;-0.8036831811235251
2013-04-30;5.709797607020791;5.58921320261001;2622904;0.2330930930519
2013-05-31;2.85002866231145;2.7327070165201404;2628460;-0.571656839428672
2013-06-30;2.51512640586589;2.43746545033899;2634016;0.910973734981145
2013-07-31;1.45711248163735;1.2372693803678998;2639572;0.37145208569691907
2013-08-31;0.0900599372483069;0.0633917660859735;2645128;-0.34281131818113
2013-09-30;0.566338614126046;0.41077617975190706;2650684;0.24935872412453897
2013-10-31;0.17177099241845098;0.133115185147369;2656240;-0.271755682581818
2013-11-30;1.70704295647641;1.6424755722714202;2661796;1.04446859478664
2013-12-31;4.07699615616472;3.8468615340632795;2667352;3.2488545565785096
2014-01-31;1.47576739272899;1.0765651141105002;2672908;-2.57921921772473
2014-02-28;4.11880342275669;3.81775599267336;2678464;-0.789483877251328
2014-03-31;7.796711175792639;7.253851364827749;2684367;1.48417970462455
2014-04-30;7.65970212854445;7.29088828208593;2689576;1.93476817252782
2014-05-31;5.62091345376065;5.1798768944959805;2695132;1.8755130385471699
2014-06-30;0.578982644279798;0.508267812414143;2700688;-1.01822390294371
2014-07-31;0.613405229914333;0.49399801343448296;2706244;-0.371819281236502
2014-08-31;0.6520736149001509;0.49163258457487;2711800;0.0854295003077674
2014-09-30;0.286012015367548;0.27290639130350897;2717005;0.11148893567614099
2014-10-31;0.963532470316896;0.7420664428992979;2722912;0.33719557517011106
2014-11-30;3.2005762912953903;2.6100199776033;2728468;2.01201300011852
2014-12-31;0.534365327420434;0.490780341151811;2734024;-0.10722663633296499
2015-01-31;1.20895845373912;1.12159439915602;2739580;-2.53418993267921
2015-02-28;4.52682011893817;4.29904602259937;2745136;-0.308193847325318
2015-03-31;6.40897050980599;5.73024362066117;2750692;-0.0394280395420301
2015-04-30;3.90689628918966;3.5627980647107202;2756248;-1.7933220448473897
2015-05-31;1.6261576009133203;1.17886768919751;2761804;-2.1254961667513
2015-06-30;0.7231923674233259;0.588416185853286;2767360;-0.9380755295045641
2015-07-31;1.78857668771619;1.4598685912949698;2772916;0.5940512966239829
2015-08-31;0.0425102440339904;0.0283098084986136;2778472;-0.377893275768489
2015-09-30;0.0324565132459005;0.0181402380719329;2784028;-0.143277217555435
2015-10-31;0.00378608222930662;0.00258805420348022;2789584;-0.40228281352570705
2015-11-30;0.0156319896380107;0.00536846907602416;2795487;-0.5926385084087521
2015-12-31;0.44401183066468997;0.39604690308606394;2800696;-0.201960074398712
2016-01-31;5.58677297806548;5.14909916181607;2806599;1.49331482998084
2016-02-29;2.85796995750018;2.7891376432283397;2811808;-1.81810222669635
2016-03-31;8.23952629657522;7.297439899563639;2817013;1.5277682393604402
2016-04-30;3.58723897561431;2.90139238113203;2822920;-2.45472772842608
2016-05-31;0.913233996639329;0.7756305546234029;2828476;-2.52873330132541
2016-06-30;0.506578801075617;0.485955213564329;2834032;-1.04053650179352
2016-07-31;0.20880749013515196;0.167560248030234;2839588;-0.698257046640751
2016-09-30;0.00563725990553697;0.0044847191287539;2850700;-0.156932736498614
2016-10-31;0.0146975743062344;0.00908868502760213;2856256;-0.395782182701585
2016-11-30;0.09511057212948801;0.0739309971101391;2861812;-0.524075980374637
2016-12-31;1.1747952062155902;1.11593285150864;2867368;0.517925874023863
2017-01-31;1.6659056270915702;1.45432849366578;2872573;-2.20145583816945
2017-02-28;2.9499178124325605;2.50202120371818;2878480;-2.10521866620651
2017-03-31;3.75639212407893;3.5896341846354503;2884036;-2.18003747556775
2017-04-30;2.9575156511738903;2.86383227990606;2889592;-2.49228782965205
2017-05-31;2.00812659220349;1.85792316786862;2895148;-1.4464406880801899
2017-06-30;1.18820732732614;0.96428647036306;2901051;-0.5622052449947901
2017-07-31;1.5059535901152301;1.42159166840823;2906260;0.55577437373724
2017-08-31;0.00215585818213801;0.00206406282321099;2911816;-0.404139021443892
2017-09-30;0.00334158067901929;0.00319929793477058;2917372;-0.15821815769259698
2017-10-31;0.00208825978540605;0.00112278091839096;2922928;-0.40374808681079605
2017-11-30;0.0164752691984177;0.0101396397902415;2928484;-0.5878673376945339
2017-12-31;0.140549705821961;0.0962987516491926;2934387;-0.5017082258355829
2018-01-31;3.0452355387081402;2.34579916958672;2939596;-1.30998516224851
2018-02-28;9.24399857030419;8.59250393997099;2945152;3.9852640700463
2018-03-31;5.72587120750298;4.80450832701673;2950708;-0.965163333186473
2018-04-30;7.2486735665528395;6.61301323699944;2956264;1.2568931274413302
2018-05-31;4.6758204475045195;3.9199853349897404;2961820;0.615621479040926
2018-06-30;2.37620448768139;1.95665354293917;2967376;0.430161827581323
2018-07-31;0.9433951211561049;0.849315907507657;2984044;-0.0165013871633277
2018-08-31;0.000967285654041916;0.000926099135540426;2989249;-0.405276985131563
2018-09-30;0.189563304185867;0.107377234488153;2995156;-0.0540402211392155
2018-10-31;0.16881796096761997;0.12376173892512199;3000712;-0.28110912880406497
2018-11-30;2.50343906631072;1.7023970973816;3006268;1.10439011989682
2018-12-31;9.07655972095493;7.937783661626541;3011824;7.3397766841417695
